id,admitted,test_score,ap,avg_ap,sat_subjects,gpa,female,minority,international,sports,school,early_app,alumni,program,add_info
BS33VZU8CV,1,2400,0,0,3,4,1,0,0,0,Harvard,0,0,Classics,Speech and debate co captain 4 years founder of policy debate squad Varsity cross country will be senior captain 3 years Varsity track 3 years Junior Classical League president other positions 4 years Science Bowl first team 4 years Violin lessons 8 years school has no orchestra I just take lessons Peer tutoring 4 years Write and direct Nativity play at church 3 years Volunteer for homeless housing project at church 3 years Translated and directed Greek tragedy for school s drama club this year Speech and debate Academic All American Degree of Premier Distinction Quintuple Ruby qualifier to Tournament of Champions in extemporaneous speaking state finalist Athletics all region cross country 11 12 all region track 10 12 all state track 10 12 all for schools with 500 students JCL quiz bowl oratory and interpretation state champion state champion in several academic contests large national awards in several areas Other 4th place Regional Science Bowl 11 essay contest prizes 10 11 National Merit candidate essay under review at Concord Review a history journal open to high school students 11 I go to an unusual high school with a curriculum like that of St John s College MD There are no AP classes and no choice in which courses to take other than language Every class excluding arts is honors level and reported as such on my transcript Weirdness includes 14th century counterpoint in tenth grade four years of required philosophy classes and no history from after 1900 This was swell for me though because it meant I got to take six years of Latin and four of classical Greek I plan to defer enrollment for a year in order to participate in City Year an AmeriCorps program that brings people 17 24 to major cities to mentor young children Unfortunately my parents aren t interested in funding college unless I graduate four years after high school graduation so I m self studying eight AP exams during my junior year in order to get in and out of college in three years 
JFNC116E9Z,1,2400,7,4.428571429,3,4,1,0,0,1,Harvard,0,1,,class president 3 years SGA officer math club NHS Key club varsity basketball cross country taekwondo concert master for youth orchestra school orchestra community service 200 research at children s hospital model un speech and debatehonor roll basketball all around all star taekwondo world champion youth orchestra award national merit key club award model un best delegation violin concerto young artists competition
UUU7K5C91),1,2400,5,4.8,5,4,0,0,0,0,Harvard,0,0,Undeclared,
6KIP55XTQE,0,2390,4,5,5,4,1,0,0,0,Harvard,0,0,Biomedical Engineering,Varsity Tennis captain 9 10 11 12 Mu Alpha Theta president 10 11 12 National Honor Society vice president of junior council historian of sophomore council 10 11 12 Student Government president vice president 9 10 Key Club 9 10 11 12 Summerlin Hospital volunteer 9 10 11 12 Science Bowl 11 12 Chamber orchestra treasurer 10 12National Merit Finalist Who s Who Among American High School Students National Honor Roll AP Scholar with Honor Academic Letters Tennis letters National Honor Society Scholarship Tenet Award Olympic writer Student of the Month We the People District 1st place State 2nd place Science Bowl State 3rd placeI visited the campus for an interview for the school I applied early to 
SO7Q49IMY9,0,2390,5,4.6,3,3.96,1,0,0,0,Harvard,0,0,Math,
VXKO3KNGSU,0,2390,3,4.666666667,3,4,0,0,0,0,Harvard,0,1,Biomedical Engineering,
NTTQ7SF0UC,1,2390,7,5,2,4,1,0,0,0,Harvard,0,0,Statistics,Academic Decathlon captain tutoring club president Future Business Leaders of America officer National Honor Society Chinese Cultural ClubNational academic decathlon medals FBLA state awards national latin and greek exams 
R60TBLRDC7,0,2390,7,5,2,4,1,0,0,0,Harvard,0,0,Neuroscience,NHS Co secretary Spanish Honor Society Latin Honor society Math Team Captain Physics Team Theater Arts Percussion Ensemble Symphony Orchestra Tennis Volleyball Newspaper Club Editor Staff Writer Action Against Hunger Model U N Presidential Scholar Semifinalist National Merit Finalist Connecticut Association of Boards of Education Leadership Award Southern Connecticut Conference Scholar Leader Award Leland Stowe Writing Award Academic Excellence in AP Physics Honors English III Spanish II Algebra II P E CAPT Scholar Smith College Book Award AP Scholar
EF97RSZBOM,1,2390,7,5,4,4,0,1,0,0,Harvard,0,0,Chemistry,Debate Forensics Interact Student Council Class OfficersTop 30 out of 90k competitors in speech debate national qualifier in speech debate top scores in several math contests
7SL1XINXRZ,0,2390,7,4.714285714,3,3.99,1,0,0,0,Harvard,0,0,Neuroscience,Lots of piano related activities 30 hours per week every week National Merit Winner 2500 Some sort of AP ScholarRural diversity helped but my interviews seemed not to make too much of a difference as I thought Columbia was my worst interview but it was the only Ivy I was accepted to 
SL3JLNFJMY,0,2390,2,4,4,3.9,1,0,0,0,Harvard,0,0,psychology,
RBXBPZ7DNP,1,2390,7,5,3,3.98,0,0,0,0,Harvard,0,0,,
AZQJAYAULC,1,2390,5,5,6,3.98,1,0,0,0,Harvard,0,0,International Relations,Student Government 4 yrs president for 2 yrs Young Democrats Club 4 yrs president state senate campaign intern school newspaper writing editor 4 yrs Model UN 3 yrs orchestra concert master in senior yr debate club 2 yrs school dance team 1 yr national honor societynational merit scholarship finalist presidential volunteer service award various debate awards Princeton book award
5S65NKCZ6Q,0,2390,3,5,2,4,0,0,0,0,Harvard,0,0,Computer Science,NHS PresidentNational Merit ScholarInterviews went well recommendations could have been better 
9ITJGV2TDY,0,2390,0,0,2,3.9,1,0,0,0,Harvard,0,0,pre med,
J721L62V3U,0,2380,2,5,3,3.8,1,0,0,0,Harvard,0,0,,
BSOHF5K9B2,0,2380,0,0,5,4,0,0,1,0,Harvard,0,0,Math Physics,International and national mathematical olympiads national science olympiads astronomy classical piano creative writing especially poetry non varsity soccer website designingInternational Mathematical Olympiad Training Camp final stage of training and selection before IMO 2007 and 2008 Summer Science Program SSP 2007 as one of 3 students from my country ever to get selected Classical Piano ABRSM Grade 8 numerous awards and trophies on a city and regional level Represented my state in creative writing in National Inter school arts contest Highly Commended in International Essay Contest Published book of poetry in my native language Top level national rank in National Cyber Olympiad twice National Merit Scholarship from the Government of my country
JKFHW6I2D1,0,2380,7,5,4,4,1,0,0,0,Harvard,0,0,Biochem,
0BTT7HW4SX,0,2380,7,4.857142857,3,4,1,0,0,0,Harvard,0,0,Economics,Beta Club 9 12 grade 1hr wk Speech and Debate Captain 9 12 grade 10 hrs wk Band 9 10 grade 5 hrs wk Academic Team Quiz Bowl 9 12 grades 1 hr wk Student Government Representative 9 12 grade 2 hr wk Mu Alpha Theta Math Club President 9 12 grade 2 hr wk AP Scholar with Distinction STAR Student of Mississippi Mississippi Economic Student of the Year All American Award from the National Forensics League State Champion of 2015 in Speech and Debate Class Favorite 10 12 grade Outstanding Representative and Youth Legislature Runner Up in Calculus at the Mu Alpha Theta State Convention Homecoming Court 10 11 grade Most Likely to Succeed and Most Academically Talented at Madison Central High School
M1LFDIFVED,1,2380,7,5,5,4,0,0,0,0,Harvard,0,0,Mathematics,music double bass school orchestra juilliard precollege program e p o c h program helping handicapped children fencing work at shoprite in the summer9th grade history award 9th grade math award underclassman ap physics c award 9th grade spanish award 11th grade spanish award 11th grade math award bausch and lomb award for science german 3 award 12th grade math award
AG1M1L2GB3,0,2380,7,5,3,4,1,0,0,0,Harvard,0,0,Computer Science,
J3BQUF57FB,1,2380,4,5,3,4,1,0,0,0,Harvard,0,0,Environmental Science,Student Council 9 12 spent 10 hrs wk president Academic Decathlon 10 11 MVP 25 hrs wk Science Olympiad 12 10 hrs wk Rotary student of the month academic Social studies student of the semester Girls State senator Daughters of the American Revolution Good Citizen Robert Byrd All State Scholar
AJ9Z38C7YY,0,2380,5,4.8,6,4,0,1,0,1,Harvard,0,0,pre med,President of Big Brothers Big Sisters club Head of winning Science Olympiad team Student Liason to School Committee Captain of Varsity Tennis Swimming and Squash teamsValedictorian of class National Merit Finalist Summer research grant Citizenship award State leadership councilResearch assistant at local lab First generation college student
L7K0MMEVPS,1,2380,0,0,5,4,0,0,1,0,Harvard,1,0,Chemistry,
REB60QQJFB,0,2380,4,5,3,4,1,0,0,0,Harvard,0,0,English,Hawkettes Drill Team 1 2 3 4 UDA All star 4 Constitution Team 4 COACH volunteer tutoring 2 3 4 Hawk Pride Advisory Board 3 4 Equinox Creative Writing Magazine 1 2 3 Asian Club 3 4 President 3 Book Club 451 1 2 3 4 President 2 Variety Show 2 3 4 Senior Class Act Captain 4 Speech Team 1 Spanish Club 1 2 3 4 Principal s Advisory Council 1 2 3 4 South Park Church Student Active Leadership Team SALT 1 2 3 4 Prayer ministry leader 2 3 4 Junior high small group leader 1 3 4th grade Sunday school teacher 2 VBS leader and storyteller 1 2 4 Campers in Leadership Training CILT program 3 4 weekly small group Bible study 1 2 3 4 weekly Spanish Bible study 4 weekly school prayer and Bible study leader 4 See You at the Pole organizer 1 2 3 4 Student Ministry Sunday sermon 1 3 Pancake Prayer Breakfast organizer 4 Prayer Night organizer 4 30 Hour Famine 2 3 4 inner city Chicago mission trip 2 4 Brazil mission trip 3 Mexico mission trip 4 Chinese Family Camp field day teen skit co organizer 1 2 3 4 Peggy Ross Best American History Scholar 3 Best of 207 District Award for Academic Achievement 4 American Legion Constitution Test Finalist 3 National Merit Finalist 4 National Honor Society 3 4 Student of the Month 1 3 Student of the Quarter 2 High Honor Roll 1 2 3 4 Social Studies High Honors 1 2 3 Science Honors 1 2 Foreign Language High Honors 1 2 3 Illinois State Scholar 4 My interviews went well overall I think I got favorable recommendations as well 
UG5AS7NYBL,0,2380,0,0,3,3.8,1,1,0,0,Harvard,0,0,Political Science PPE,Debate Student Government Political Club Indian Dance Academic Honors National Merit Finalist Multiple Debate Awards
5KSL7C8SLZ,0,2370,7,4.857142857,4,3.86,0,0,0,0,Harvard,0,0,Physics,
YACNV8U8G0,1,2370,4,4.5,3,3.96,0,0,0,0,Harvard,1,0,Economics,Cross Country Track and Field Boy Scouts Swimming QuizNet TeamNational Merit Letter of Commendation AP Scholar Highest High School GPA Award Eagle Scout
3AVN1QR07I,1,2370,7,5,3,3.97,1,0,1,0,Harvard,0,0,Undecided, Lived in China for five years Good interviews
N5LT1NT9HL,0,2370,3,5,4,4,1,0,0,0,Harvard,0,0,cognitive science,Activity Grades hours week weeks year leadership dance 1 12 7 35 senior company volunteering at zoo 10 12 4 50 naturalist working at science museum 11 5 30 exhibit explainer research internship at BU 12 40 6 CTY summer courses 10 11 40 3 school travel experience 10 11 2 peer counseling 11 12 2 30 peer counselor peer tutoring 10 5 35 peer tutor Arabic language class 12 1 30 independent AP psychology 11 7 30 counselor in training 10 40 3 counselorCornell Book Award National Honor Society National Merit Scholarship Finalist National French Exam First Place Presidential Community Service Award Outstanding Volunteer Award
RRGDHJUHIJ,1,2370,3,5,3,4,1,0,0,0,Harvard,0,0,,
RP2ZTM2HN9,0,2370,5,4.8,4,3.83,1,1,0,0,Harvard,0,0,Chemistry Psychology Classics,Cross Country 4 years 1 year captain Swimming 2 years Junior Classical League 4 years Indian Community Center Volunteering 4 years Hospital ER Volunteering 2 years Organization of Special Needs Families Volunteering 2 years National Honors Society 3 years Presidential Award for Community Service Semi Finalist for Biology Olympiad Cum Laude Society National Honors Society National Latin Honors Society Smith College Book Award Most Improved for Swimming Cross Country Captain Junior Classical League President and Vice President California Junior Classical League Nuntius Editor Star Recognition Award for Hospital Service NHS Award for Community ServiceInterviews didn t really matter except when applying to med programs but even then I felt most of my med interviews went fantastically and I didn t get into to those the ones I felt sucked like no other accepted me even for normal colleges my interview for Rice was beyond awful I have no idea how my recs were I felt one was rather shaky but that my other teacher rec and my counseler ones were impeccable Personally I think my GPA screwed me over 
VETXSR08G1,0,2370,6,4.833333333,6,3.8,1,0,0,0,Harvard,1,0,Political Science,Student Council Representative Grades 10 11 Pres 12 4 hrs wk during school year Saxophone in school jazz band 9 12 2 hrs wk during school year House Manager school drama club 10 12 30 hrs yr Member Stage 40 school drama club Board of Directors 12 6 hrs month Varsity Cross Country 10 8 hrs wk 12 wks Dancer in local production of CATS 12 100 hours over 5 months Church Youth Group volunteering 4 5 hrs month Volunteer Assistant to school band teacher 9 3 hrs wk during school year Staffed local volunteer library 12 2 hrs wk for full yearNational Merit Scholarship Finalist Middlebury College Book Award for liberal Arts Bausch and Lomb award for achievement in science and math Music awards peer awarded Most Positive Spirit in Jazz Band Most Improved in Senior Band Clarinet Section Most Positive Spirit Saxophone section Jazz Band Various school wide academic achievement awards Math english Biology World History U S History Green Mountain District Festival Concert Band Winner of School Wide Writing Contest short Fiction
GN13XT25H8,1,2370,5,5,3,4,1,0,0,0,Harvard,1,0,Engineering Sciences,
G4M5RMQWDE,1,2370,7,4.857142857,4,4,0,0,0,0,Harvard,0,0,economics,
H756KI80ZV,0,2370,5,4.8,3,4,0,0,1,0,Harvard,0,0,Computer,Football Astronomy club computer club spacesetcyber olympiad science olympiad
MPY341DV2O,1,2370,3,5,1,3.96,1,0,0,0,Harvard,0,0,Chemistry,
57AY3FMJYU,1,2370,6,4.5,5,3.92,1,0,0,0,Harvard,0,1,Chemistry Economics Women s Studies,
B1N8WCEGJC,1,2370,7,5,4,4,1,0,0,0,Harvard,1,0,Economics, Newspaper Editor in Chief 9 12 15 hrs week 25 wks year Forensics Debate Captain and Co President 9 12 5 10 hrs week 30 wks year Classical Piano 1 12 10 15 hrs week 48 wks year Fencing Captain 9 12 5 10 hrs week 20 wks year Volunteering at Women s Shelter 9 11 30 hrs week 3 4 wks year summer Gay Straight Alliance Co President and Co Founder 12 3 hrs week 35 wks year LISTED ONLY ON RESUME National Honor Society 9 12 Quiz Bowl Team 12 History Club 10 12 ACADEMIC 1st Place in Major National Essay Contest State Winner for Science AP Exam Award Several Mid level Essay Contests History Science Regional Chinese Student of the Year City Govt sponsored Attended Governor s School for International Studies HOBY Rep Book Award School Board Recognition 6x National Merit Finalist National AP Scholar EXTRACURRICULAR Forensics Qualified to state and national levels in LD debate Congress Piano International award played at Carnegie Hall Fencing Local medals qualified to Junior Olympics Writing Journalism Won several poetry contests editorial writing contests etc Math Tech Local State awards in Technology and Mathematics competitionsINTERVIEWS Harvard went extremely well interviewer assured me of acceptance Yale reasonably well no judgement RECOMMENDATIONS One from the teacher who traveled with me to my essay award ceremony close personal relationship Others are just normal teachers I don t know what they wrote but I think it was fairly objective I don t know my counselor extremely well but she had a high opinion of me ESSAYS I worked very hard on them about my childhood moving around etc NOT about ambitions dreams obstacles passions etc Did not make excuses or write about extenuating circumstances 
F3VV7G1WI1,1,2370,1,5,2,3.92,0,0,0,0,Harvard,0,0,,Mock Trial Model UNState Art Competition winner
V3QIEQP1Q4,1,2370,6,4.666666667,3,3.96,0,0,0,0,Harvard,0,0,Neurobiology,Cross Country Tennis Captain Math team Captain Beta Club National Honor Society International Club Band Orchestra Weekend job refereeing soccer games about 12 hours a weekAP Scholar with Distinction Member of State math team 1st place in GA math league and other math competitions all state band all state chorus Tennis MVP and Rookie of the Year
9D0E8FLV7J,1,2364,0,0,0,3.9,1,1,1,0,Harvard,0,0,,
M3MT5VOYL3,0,2360,7,4.857142857,3,4,0,1,0,0,Harvard,0,0,Mathematics,4 years Hospital Volunteer work on the same floor 2 years soccer 1 varsity letter 2 years swimming 2 varsity letters 1 year tennis 2 years cross country 2 years academic team 1 as captain 4 years church youth groupGeography award analysis award Georgia certificate of merit Valedictorian National MeritI spent the summer after my freshman year at Duke the following one at Johns Hopkins and the summer after my junior year in Washington D C at the National Congressional Youth Leadership Conference Yay Yale Boolah Boolah
ZATEBKKVRH,1,2360,6,4.833333333,4,3.78,1,0,0,0,Harvard,0,1,History,
ZNOMHNDUXY,1,2360,3,4.333333333,3,4,0,0,0,0,Harvard,0,0,Economics,
3JYV9909SM,0,2360,7,5,4,4,0,0,0,0,Harvard,0,0,Applied Mathematics,Mu Alpha Theta 9 12 5hr wk President 12 Vice President 11 Engineering Club 9 12 2hr wk Vice President 12 11 Student Council 9 12 5hr wk Treasurer 12 9 VP 10 Culture Club 11 12 1hr wk Varsity Soccer 9 11 12 10hr wk Key Club 9 11 12 2hr wk Quiz Bowl 9 11 12 2hr wk Captain 12 Volunteering at a local hospital 9 4hr wk for 30 wks Volunteering as a TA in Memphis Chinese school 4hr wk for 8 wksUSAMO qualifier 2006 national AP National Scholar 2007 national National Merit Scholarship Semifinalist 2007 national 1st 1st 2nd Mu Alpha Theta National Convention 2005 National University of Tennessee Math Competition Full Scholarship Winner 2005 state 1st Individual Mu Alpha Theta State Conventions 2005 Louisiana 2006 Tennessee 2007 Louisiana State Literary Rally Algebra II Overall Winner state 1st Mu Alpha Theta Log1 Contest Region II 2006 2007 inter state national Louisiana Cancer Research Consortium Summer Internship Outstanding Poster 2006 local state Numerous school regional awards on math science social studies and overall achievements 
Q91G2OV7LN,0,2360,5,4.8,3,4,0,0,0,0,Harvard,1,0,Finance, 0 o o o 0 0 
3K5OL7H50P,1,2360,7,5,3,3.99,0,1,0,0,Harvard,0,0,Political Science,Church choir youth minister 5 hrs week 52 weeks year 9 12 Debate Team sophomore captain Senior Vice President 10 hrs week 18 wks yr 9 12 NHS Junior Officer Senior President 2 hrs week 20 wks yr 9 12 History Club President 2 hrs week 10 wks yr 11 12National Speech Tournament Semifinalist FBLA State 1st Place ACT SO Regional Gold Medal Ring of Honor State Science Fair 1st Place AP Scholar with Distinction
804BW4WFQ8,0,2360,2,4.5,3,3.75,0,0,0,0,Harvard,0,0,Engineering Economics,JV Tennis 10 hr wk 12 wk yr 2 years Consumer Bowl 1 hr wk 5 wk yr 2 years Mu Alpha Theta 1 hr wk 6 wk yr 2 years Science League 1 hr wk 4 wk yr 3 years Model UN 1 hr wk 12 wk yr 1 year National Honor Society 1 hr wk 20 wk yr 1 year Spanish Honor Society Treasurer 1 hr wk 6 wk yr 1 yearNational Merit Scholar Semifinalist National Society of High School Scholars
DVN1X7YW5S,0,2360,7,5,4,3.94,1,0,0,0,Harvard,0,0,,Quizbowl 2 hrs week 40 wks yr captain nationally competitive team Red Cross Club 3 hrs week secretary 25 wks yr Varsity Tennis 12 hrs wk 10 wks yr Science Olympiad event lead 5 hrs wk 18 wks yr National AP Scholar AP Scholar w Distinction Varsity Letters band x2 tennis x3 
Z0A91ETN4L,0,2360,7,5,4,3.94,1,0,0,0,Harvard,0,0,Political Science,
HUWL7GUQGU,0,2360,7,4.714285714,3,3.96,0,0,0,0,Harvard,0,0,math,
SPDLGETUG9,0,2360,7,5,4,3.9,1,0,0,0,Harvard,1,0,Political Science,Too many to name here Percussion Mock Trial JETS Knowledge Bowl Science Bowl Mathlete team and many more all spread out over 4 years AP National Scholar jr National Merit Semifinalist jr Academic All State Team Member sr In addition to the AP tests above I also took Biology on which I received a 5 At the end of this year I will take US Government English Literature and Chemistry 
1FA2TXCEH1,0,2360,7,5,3,4,0,0,0,0,Harvard,1,0,Industrial Engineering,Varsity Swimming 2 years 60 hours year National Merit Scholarship Recipient Presidential Scholar Candadate
FRGTIQCER3,0,2360,7,5,3,4,0,0,0,0,Harvard,0,0,Biology,
4Q8YOCH2KW,0,2360,5,3.6,4,3.94,0,0,0,0,Harvard,0,0,Economics,Theatre four years at more than 12 hours week Quiz bowl four years at about three hours week Math team leadership this year four years sporadic meets NHS two years both in leadership with significant volunteer work alongside Political activism particularly leading Wolfeboro NH s campaigning for President Obama over a summer 200ish hours Worked at Goodhue and Hawkins Navy Yard twelve weeks 40 hours week along with sporadic weekend days over the eight weeks priorWill attend to later truly ludicrious number along with even more next weekWill attend to later have to go
TWADY4FSMF,1,2360,1,4,2,4,1,1,0,0,Harvard,0,0,Computer Science,Track and Field 2012 2015 13 hours week 20 weeks year Cross Country 2011 2012 13 hours week 20 weeks year Girls Who Code Club 2013 2014 2 hours week 12 weeks year French Club 2013 2014 1 hour week 8 weeks year Sharing God s Bounty Saint Philomene s Parish volunteer from 2013 2014 4 hours week 8 weeks year captain from 2014 2015 4 hours week 52 weeks year Freshman Year French National Contest Winner scored in the 50th percentile or above French National Contest Bronze Medal Winner scored in the 90th percentile or above Certificates of Honor in Hebrew Scriptures Prayer and Sacraments French I English 9 Drawing I and Honors Geometry Certificate of General Excellence first and second semester Sophomore Year French National Contest Winner French National Contest Northern California Winner scored one of the highest scores in the Northern California sector French National Contest Silver Medal Winner scored in the 93rd percentile or above Certificates of Honor in Gospels French 2 Christian Identity World History Honors Great Books Honors Chemistry and Honors Algebra 2 Certificate of General Excellence first and second semester Graduate of the inaugural 2013 class of Girls Who Code sponsored by Intel and hosted at UC Davis Academic Medal maintained above a 4 0 GPA for the first two years of high school Junior Year Certificate of General Excellence first and second semester French National Contest Winner French National Contest Bronze Medal Winner Certificates of Honor in Church History Honors French 3 Religious Philosophy AP Chemistry US History and American Literature Apostles of the Sacred Heart of Jesus Scholarship awarded to students that display service spirituality and loyalty to the school Academic Medal maintained above a 4 0 GPA in the first three years of high school Senior Year National Merit Commended Student 2013 PSAT first generation American citizen parents are from central Africa 
U9UM85ISEG,0,2360,7,4.571428571,5,4,0,0,0,0,Harvard,0,0,,
XEILXGCOYU,0,2360,7,5,4,4,1,1,0,0,Harvard,0,0,Economics,Varsity swimmer all through high school president and founder of the Chinese club National Merit Finalist
P5IIJE31R4,0,2360,4,5,4,4,0,0,0,0,Harvard,0,0,Engineering,
VJ3Z077U8A,0,2360,7,5,3,3.96,1,0,0,0,Harvard,0,0,Applied Mathematics,
0DC0LLTXP1,0,2360,7,5,5,4,0,1,0,0,Harvard,1,0,Neuroscience,Crew Viola Web DesignNHS Tri M Governor s Scholar National Merit Scholar
DRAKDXW8A0,1,2360,2,5,3,3.97,1,0,0,0,Harvard,1,0,Philosophy,
P5NI6LIO2Q,0,2350,3,3,3,4,0,0,0,0,Harvard,0,0,Biological Engineering,
9FXBHEIL4L,1,2350,5,5,4,3.9,0,0,0,0,Harvard,0,0,International relations,
RNGBB4FJ5N,0,2350,5,4,4,3.96,1,0,0,0,Harvard,0,0,,
2HMLW5FA77,0,2350,3,5,3,3.98,1,0,0,0,Harvard,0,0,History,
